latitude,rainfall_amount
2023-12-02,0.10
2023-12-03,0.00
2023-12-04,0.30
2023-12-05,3.70
2023-12-06,6.60
2023-12-07,0.00
2023-12-08,7.10
2023-12-09,12.40
2023-12-10,7.20
2023-12-11,5.10
2023-12-12,12.40
2023-12-13,10.30
2023-12-14,2.70
2023-12-15,0.80
2023-12-16,0.20
2023-12-17,0.00
2023-12-18,0.00
2023-12-19,0.10
2023-12-20,7.00
2023-12-21,11.00
2023-12-22,18.50
2023-12-23,7.80
2023-12-24,14.60
2023-12-25,0.00
2023-12-26,0.40
2023-12-27,0.20
2023-12-28,3.20
2023-12-29,0.30
2023-12-30,1.10
2023-12-31,2.80
2024-01-01,2.90
2024-01-02,11.90
2024-01-03,13.90
2024-01-04,5.20
2024-01-05,0.60
2024-01-06,0.20
2024-01-07,0.90
2024-01-08,0.00
2024-01-09,0.00
2024-01-10,0.00
2024-01-11,0.00
2024-01-12,0.00
2024-01-13,0.00
2024-01-14,0.00
2024-01-15,0.10
2024-01-16,0.00
2024-01-17,8.50
2024-01-18,4.70
2024-01-19,0.00
2024-01-20,0.00
2024-01-21,0.00
2024-01-22,7.70
2024-01-23,6.50
2024-01-24,4.80
2024-01-25,3.00
2024-01-26,5.90
2024-01-27,0.00
2024-01-28,0.00
2024-01-29,0.00
2024-01-30,0.20
2024-01-31,0.00
2024-02-01,9.20
2024-02-02,0.30
2024-02-03,0.20
2024-02-04,1.10
2024-02-05,0.00
2024-02-06,0.00
2024-02-07,8.30
2024-02-08,10.80
2024-02-09,8.10
2024-02-10,2.20
2024-02-11,12.80
2024-02-12,1.30
2024-02-13,1.10
2024-02-14,0.40
2024-02-15,0.00
2024-02-16,1.00
2024-02-17,4.50
2024-02-18,3.40
2024-02-19,11.40
2024-02-20,2.90
2024-02-21,0.50
2024-02-22,17.80
2024-02-23,1.70
2024-02-24,0.10
2024-02-25,0.00
2024-02-26,1.30
2024-02-27,1.50
2024-02-28,0.10
2024-02-29,0.00
2024-03-01,3.00
2024-03-02,0.00
2024-03-03,0.00
2024-03-04,0.30
2024-03-05,2.20
2024-03-06,9.40
2024-03-07,0.20
2024-03-08,0.00
2024-03-09,0.10
2024-03-10,9.70
2024-03-11,1.40
2024-03-12,5.70
2024-03-13,8.70
2024-03-14,0.00
2024-03-15,3.90
2024-03-16,1.70
2024-03-17,0.10
2024-03-18,3.10
2024-03-19,0.10
2024-03-20,0.00
2024-03-21,0.60
2024-03-22,0.00
2024-03-23,13.90
2024-03-24,5.60
2024-03-25,0.40
2024-03-26,0.00
2024-03-27,7.10
2024-03-28,0.60
2024-03-29,2.80
2024-03-30,0.00
2024-03-31,2.10
2024-04-01,8.60
2024-04-02,1.80
2024-04-03,9.70
2024-04-04,7.00
2024-04-05,0.70
2024-04-06,0.00
2024-04-07,0.00
2024-04-08,0.10
2024-04-09,1.50
2024-04-10,0.20
2024-04-11,0.00
2024-04-12,0.00
2024-04-13,0.00
2024-04-14,0.00
2024-04-15,8.90
2024-04-16,14.40
2024-04-17,6.90
2024-04-18,3.20
2024-04-19,14.60
2024-04-20,3.20
2024-04-21,4.80
2024-04-22,0.90
2024-04-23,0.00
2024-04-24,3.30
2024-04-25,1.80
2024-04-26,0.30
2024-04-27,0.00
2024-04-28,0.00
2024-04-29,0.00
2024-04-30,0.00
2024-05-01,0.00
2024-05-02,6.70
2024-05-03,0.80
2024-05-04,0.10
2024-05-05,5.10
2024-05-06,5.60
2024-05-07,0.90
2024-05-08,0.80
2024-05-09,0.00
2024-05-10,0.00
2024-05-11,0.00
2024-05-12,0.00
2024-05-13,3.60
2024-05-14,0.00
2024-05-15,8.00
2024-05-16,5.30
2024-05-17,48.70
2024-05-18,11.60
2024-05-19,1.00
2024-05-20,0.00
2024-05-21,10.10
2024-05-22,2.00
2024-05-23,3.80
2024-05-24,5.90
2024-05-25,0.30
2024-05-26,0.40
2024-05-27,3.20
2024-05-28,0.70
2024-05-29,8.30
2024-05-30,10.80
2024-05-31,29.00
2024-06-01,25.10
2024-06-02,34.00
2024-06-03,0.30
2024-06-04,0.00
2024-06-05,0.50
2024-06-06,2.80
2024-06-07,0.10
2024-06-08,2.30
2024-06-09,0.10
2024-06-10,0.40
2024-06-11,0.20
2024-06-12,0.30
2024-06-13,0.00
2024-06-14,1.90
2024-06-15,13.00
2024-06-16,0.60
2024-06-17,2.90
2024-06-18,0.00
2024-06-19,8.80
2024-06-20,0.00
2024-06-21,2.30
2024-06-22,6.40
2024-06-23,0.90
2024-06-24,0.00
2024-06-25,0.00
2024-06-26,8.10
2024-06-27,1.10
2024-06-28,4.10
2024-06-29,0.00
2024-06-30,12.20
2024-07-01,3.50
2024-07-02,2.40
2024-07-03,13.50
2024-07-04,6.40
2024-07-05,0.10
2024-07-06,11.90
2024-07-07,0.00
2024-07-08,0.00
2024-07-09,0.00
2024-07-10,9.70
2024-07-11,1.00
2024-07-12,9.90
2024-07-13,5.10
2024-07-14,0.00
2024-07-15,3.60
2024-07-16,0.60
2024-07-17,0.00
2024-07-18,0.00
2024-07-19,1.30
2024-07-20,0.00
2024-07-21,1.30
2024-07-22,2.20
2024-07-23,7.40
2024-07-24,1.00
2024-07-25,0.00
2024-07-26,0.00
2024-07-27,8.10
2024-07-28,2.60
2024-07-29,0.00
2024-07-30,0.00
2024-07-31,1.20
