,date,daily_classification
170,2024-01-15,Low
171,2024-01-16,Low
172,2024-01-17,Low
173,2024-01-18,Low
174,2024-01-19,Low
175,2024-01-20,Low
176,2024-01-21,Low
177,2024-01-22,Low
178,2024-01-23,Low
179,2024-01-24,Low
180,2024-01-25,Low
181,2024-01-26,Low
182,2024-01-27,Low
183,2024-01-28,Low
184,2024-01-29,Low
185,2024-01-30,Low
186,2024-01-31,Low
187,2024-02-01,Low
188,2024-02-02,Low
189,2024-02-03,Low
190,2024-02-04,Low
191,2024-02-05,Low
192,2024-02-06,Low
193,2024-02-07,Low
194,2024-02-08,Low
195,2024-02-09,Low
196,2024-02-10,Low
197,2024-02-11,Low
198,2024-02-12,Low
199,2024-02-13,Low
200,2024-02-14,Low
201,2024-02-15,Low
202,2024-02-16,Low
203,2024-02-17,Low
204,2024-02-18,Low
205,2024-02-19,Low
206,2024-02-20,Low
207,2024-02-21,Low
208,2024-02-22,Low
209,2024-02-23,Low
210,2024-02-24,Low
211,2024-02-25,Low
212,2024-02-26,Low
213,2024-02-27,Low
214,2024-02-28,Low
215,2024-02-29,Low
216,2024-03-01,Low
217,2024-03-02,Low
218,2024-03-03,Low
219,2024-03-04,Low
220,2024-03-05,Low
221,2024-03-06,Low
222,2024-03-07,Low
223,2024-03-08,Low
224,2024-03-09,Low
225,2024-03-10,Low
226,2024-03-11,Low
227,2024-03-12,Low
228,2024-03-13,Low
229,2024-03-14,Low
230,2024-03-15,Low
231,2024-03-16,Low
232,2024-03-17,Low
233,2024-03-18,Low
234,2024-03-19,Low
235,2024-03-20,Low
236,2024-03-21,Low
237,2024-03-22,Low
238,2024-03-23,Low
239,2024-03-24,Low
240,2024-03-25,Low
241,2024-03-26,Low
242,2024-03-27,Low
243,2024-03-28,Low
244,2024-03-29,Low
245,2024-03-30,Low
246,2024-03-31,Low
247,2024-04-01,Low
248,2024-04-02,Low
249,2024-04-03,Low
250,2024-04-04,Low
251,2024-04-05,Low
252,2024-04-06,Low
253,2024-04-07,Low
254,2024-04-08,Low
255,2024-04-09,Low
256,2024-04-10,Low
257,2024-04-11,Low
258,2024-04-12,Low
259,2024-04-13,Low
260,2024-04-14,Low
261,2024-04-15,Low
262,2024-04-16,Low
263,2024-04-17,Low
264,2024-04-18,Low
265,2024-04-19,Low
266,2024-04-20,Low
267,2024-04-21,Low
268,2024-04-22,Low
269,2024-04-23,Low
270,2024-04-24,Low
271,2024-04-25,Low
272,2024-04-26,Low
273,2024-04-27,Low
274,2024-04-28,Low
275,2024-04-29,Low
276,2024-04-30,Low
277,2024-05-01,Low
278,2024-05-02,Low
279,2024-05-03,Low
280,2024-05-04,Low
281,2024-05-05,Low
282,2024-05-06,Low
283,2024-05-07,Low
284,2024-05-08,Low
285,2024-05-09,Low
286,2024-05-10,Low
287,2024-05-11,Low
288,2024-05-12,Low
289,2024-05-13,Low
290,2024-05-14,Low
291,2024-05-15,Low
292,2024-05-16,Medium
293,2024-05-17,Medium
294,2024-05-18,Low
295,2024-05-19,Low
296,2024-05-20,Low
297,2024-05-21,Low
298,2024-05-22,Low
299,2024-05-23,Low
300,2024-05-24,Low
301,2024-05-25,Low
302,2024-05-26,Low
303,2024-05-27,Low
304,2024-05-28,Low
305,2024-05-29,Low
306,2024-05-30,Low
307,2024-05-31,Low
308,2024-06-01,Medium
309,2024-06-02,High
310,2024-08-12,Low
311,2024-08-13,Low
312,2024-08-14,Low
313,2024-08-15,Low
314,2024-08-16,Low
315,2024-08-17,Low
316,2024-08-18,Low
317,2024-08-19,Low
318,2024-08-20,Low
319,2024-08-21,Low
320,2024-08-22,Low
321,2024-08-23,Low
322,2024-08-24,Low
323,2024-08-25,Low
324,2024-08-26,Low
325,2024-08-27,Low
326,2024-08-28,Low
327,2024-08-29,Low
328,2024-08-30,Low
329,2024-08-31,Low
